ITEM,CAL,FAT,SGR,CATEGORY,ALLERGENS
White Hot Chocolate (Medium) 16.3 oz (463 g),420,15.0,57,McCafe,Unknown
White Hot Chocolate (Large) 20.8 oz (589 g),520,19.0,69,McCafe,Unknown
Iced Classic Lemonade (Small) 12.3 oz (348 g),100,0.0,21,McCafe,Unknown
Frozen Classic Lemonade (Small) 12.6 oz (357 g),160,0.0,36,McCafe,Unknown
Iced Strawberry Lemonade (Small) 13.8 oz (390 g),120,0.0,28,McCafe,Unknown
Frozen Strawberry Lemonade (Small) 14.1 oz (399 g),180,0.0,43,McCafe,Unknown
Oreo Frappe (Small) 14.6 oz (413 g),540,20.0,68,McCafe,Unknown
Baked Hot Apple Pie 2.7 oz (77 g),250,13.0,13,Desserts & Shakes,Cereal Containing gluten;Milk;Soya
Chocolate Chip Cookie 1 cookie (33 g),160,8.0,15,Desserts & Shakes,Cereal Containing gluten;Milk;Soya
Oatmeal Raisin Cookie 1 cookie (33 g),150,6.0,13,Desserts & Shakes,Cereal Containing gluten;Milk;Soya
Fruit 'n Yogurt Parfait 5.2 oz (149 g),150,2.0,23,Desserts & Shakes,Milk
Chocolate Shake (Medium) 16 fl oz,700,20.0,97,Desserts & Shakes,Milk;Soya
Chocolate Shake (Large) 22 fl oz,850,23.0,120,Desserts & Shakes,Milk;Soya
Vanilla Reduced Fat Ice Cream Cone 3.7 oz (105 g),170,4.5,20,Desserts & Shakes,Milk;Soya
Kiddie Cone 1 oz (29 g),45,1.5,6,Desserts & Shakes,Unknown
Hot Fudge Sundae 6.3 oz (179 g),330,9.0,48,Desserts & Shakes,Unknown
Hot Caramel Sundae 6.4 oz (182 g),340,8.0,43,Desserts & Shakes,Unknown
Strawberry Sundae 6.3 oz (178 g),280,6.0,45,Desserts & Shakes,Unknown
McFlurry® with M&M'S® Chocolate Candies (12 fl oz cup) 12 fl oz cup (310 g),650,23.0,89,Desserts & Shakes,Milk;Soya
McFlurry® with OREO® Cookies (12 fl oz cup) 10.1 oz (285 g),520,17.0,64,Desserts & Shakes,Milk;Soya
Chocolate Shake (Small) 12 fl oz,560,16.0,77,Desserts & Shakes,Milk;Soya
Vanilla McCafe Shake (Small) 12 fl oz,530,15.0,63,Desserts & Shakes,Milk;Soya
Strawberry Shake (Small) 12 fl oz,550,16.0,79,Desserts & Shakes,Milk;Soya
STRAWBERRY & CREME PIE 3.03 oz (86 g),310,17.0,15,Desserts & Shakes,Cereal Containing gluten;Milk
Shamrock McCafe® Shake (Small) 12 fl oz cup,530,15.0,73,Desserts & Shakes,Milk;Soya
Snack Size McFlurry® with M&M'S® Chocolate Candies 7.3 oz (207 g),430,15.0,59,Desserts & Shakes,Milk;Soya
Snack Size McFlurry® with OREO® Cookies 6.7 oz (190 g),340,11.0,43,Desserts & Shakes,Milk;Soya
Strawberry Shake (Medium) 16 fl oz,690,20.0,100,Desserts & Shakes,Milk;Soya
Strawberry Shake (Large) 22 fl oz,850,24.0,123,Desserts & Shakes,Milk;Soya
Vanilla McCafe Shake (Medium) 16 fl oz,660,19.0,81,Desserts & Shakes,Milk;Soya
Vanilla McCafe Shake (Large) 22 fl oz,820,23.0,101,Desserts & Shakes,Milk;Soya
Shamrock McCafe® Shake (Medium) 16 fl oz cup,660,19.0,93,Desserts & Shakes,Milk;Soya
Shamrock McCafe® Shake (Large) 22 fl oz cup,820,23.0,115,Desserts & Shakes,Milk;Soya
Fried Cherry Pie 2.9 oz (81 g),230,10.0,15,Desserts & Shakes,Cereal Containing gluten
Sweet Potato and Creme Pie 2.8 oz (78 g),290,15.0,13,Desserts & Shakes,Cereal Containing gluten;Milk
Pumpkin and Creme Pie 2.7 oz (77 g),270,15.0,12,Desserts & Shakes,Cereal Containing gluten;Milk
Grape Jam 0.5 oz (14 g),35,0.0,9,Condiments,Unknown
Coffee Cream 0.4 fl oz (11 ml),20,2.0,0,Condiments,Milk
Strawberry Preserves 0.5 oz (14 g),35,0.0,9,Condiments,Unknown
Sugar Packet 1 pkg (4 g),15,0.0,4,Condiments,Unknown
EQUAL® ZERO Calorie Sweetener 1 pkg (1 g),0,0.0,1,Condiments,Unknown
SPLENDA® No Calorie Sweetener 1 pkg (1 g),0,0.0,1,Condiments,Unknown
Hot Habanero Sauce 22 oz (0 g),80,7.0,2,Condiments,Soya
Ketchup Packet 1 pkg (9 g),10,0.0,2,Condiments,Unknown
Creamy Ranch Sauce 0.78 oz (22.134 g),110,12.0,1,Condiments,Milk;Soya
Newman's Own® Low Fat Sesame Ginger Dressing 1.5 fl oz (44 ml),80,2.5,9,Condiments,Sesame
Spicy Buffalo Sauce 0.8 oz (22 g),35,3.0,0,Condiments,Soya
Newman's Own® Low Fat Balsamic Vinaigrette 1.5 fl oz (44 ml),35,1.5,3,Condiments,Unknown
Newman's Own® Creamy Southwest Dressing 1.5 fl oz (44 ml),120,8.0,3,Condiments,Milk
Newman's Own® Low Fat Family Recipe Italian Dressing 1.5 fl oz (44 ml),50,1.5,2,Condiments,Unknown
Salt Packet 1 pkg (0 g),0,0.0,0,Condiments,Unknown
Honey 1 pkg (14 g),50,0.0,11,Condiments,Unknown
Newman's Own® Ranch Dressing 2 fl oz (59 ml),200,17.0,4,Condiments,Unknown
Sweet 'N Sour Sauce 1 pkg (28.4 g),50,0.0,10,Condiments,Soya
Hotcake Syrup 1 pkg (61 g),180,0.0,34,Condiments,Cereal Containing gluten
Peanuts (for Sundaes) 0.3 oz (7 g),45,3.5,0,Condiments,Unknown
Honey Mustard Sauce 0.8 oz (22 g),60,4.0,5,Condiments,Soya
Tangy Barbeque Sauce 1 pkg (28.35 g),50,0.0,10,Condiments,Soya
Buffalo Ranch McChicken 5.2 oz (148 g),370,17.0,5,Condiments,Cereal Containing gluten;Egg;Milk;Soya
Whipped Margarine (1 pat) 1 pkg (6 g),40,4.5,0,Condiments,Unknown
Tartar Sauce Cup 1 oz (28 g),140,15.0,0,Condiments,Soya
Marinara Sauce (Package) 0.8 oz (24 g),15,0.0,2,Condiments,Soya
Fruit 'n Yogurt Parfait 5.2 oz (149 g),150,2.0,23,All Day Breakfast,Milk
Sausage McMuffin with Egg 5.7 oz (162 g),470,30.0,2,All Day Breakfast,Egg
Hotcakes and Sausage 6.7 oz (189 g),510,25.0,13,All Day Breakfast,Cereal Containing gluten;Egg;Milk;Soya
Sausage Burrito 3.9 oz (111 g),300,16.0,2,All Day Breakfast,Unknown
Egg McMuffin® 4.7 oz (134 g),300,12.0,2,All Day Breakfast,Cereal Containing gluten;Egg;Milk;Soya
Bacon Egg & Cheese Biscuit (Regular Size Biscuit) 5.2 oz (147 g),450,26.0,3,All Day Breakfast,Egg;Milk
Sausage Biscuit (Regular Size Biscuit) 4.1 oz (117 g),440,30.0,2,All Day Breakfast,Cereal Containing gluten
Sausage Biscuit with Egg (Regular Size Biscuit) 5.8 oz (164 g),520,35.0,2,All Day Breakfast,Egg
Hotcakes 5.1 oz (144 g),320,7.0,13,All Day Breakfast,Cereal Containing gluten;Egg;Milk;Soya
HASH BROWNS 2 oz (56 g),150,9.0,0,All Day Breakfast,Unknown
Fruit & Maple Oatmeal 8.9 oz (251 g),290,4.0,32,All Day Breakfast,Unknown
Sausage McMuffin 4 oz (114 g),400,25.0,2,All Day Breakfast,Cereal Containing gluten;Egg
